연도,월,측정소명,오존(O3),미세먼지(PM10),초미세먼지(PM2점5),주소,위도,경도,관리부서,전화번호,데이터기준일자
2024,6,대안동,0.045,23,16,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,6,상대동,0.0435,29,19,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,6,상봉동,0.0447,22,13,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,6,정촌면,0.0395,23,13,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,7,대안동,0.0271,15,10,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,7,상대동,0.0213,22,13,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,7,상봉동,0.0292,14,7,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,7,정촌면,0.0275,15,6,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,8,대안동,0.0349,18,14,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,8,상대동,0.0276,25,18,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,8,상봉동,0.0339,17,11,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,8,정촌면,0.0331,19,11,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,9,대안동,0.0283,17,9,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,9,상대동,0.0241,21,14,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,9,상봉동,0.0303,16,10,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,9,정촌면,0.0291,15,8,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,10,대안동,0.0279,17,10,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,10,상대동,0.0224,20,12,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,10,상봉동,0.0269,15,8,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,10,정촌면,0.0205,19,9,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,11,대안동,0.0216,20,11,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,11,상대동,0.0195,23,14,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,11,상봉동,0.0229,18,11,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,11,정촌면,0.0151,23,14,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,12,대안동,0.0208,23,12,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,12,상대동,0.0216,25,15,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,12,상봉동,0.0225,20,13,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2024,12,정촌면,0.0142,27,15,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,1,대안동,0.0208,33,20,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
